Player,x,y,Total_Fitness,Constraints_Raw,Coverage_Raw,Passing_Raw,Offside_Raw,PrevMarking_Raw,LineHeight_Raw,BallPress_Raw
Player11,0.023656709260052596,0.3405084459990357,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player2,0.4843929582817237,0.6392319139605633,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player3,0.32932421626048963,0.7319426121622801,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player4,0.306645996992954,0.3647388024369815,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player5,0.4560488017817676,0.45714984449166846,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player7,0.5384166956863969,0.7822083316182755,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player8,0.6354049620607358,0.5295809438948178,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player9,0.7340166142827159,0.36412111923653223,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player10,0.531794290263206,0.359520923328846,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player6,0.5598535436870237,0.50023753731119,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
Player12,0.7370798257076424,0.5834142002968702,62.434957302766506,0.05470781714886944,1.771608425619411,-2.4928051303031986,0.0,0.450235674610311,0.5068320240563686,0.03337802656416919
