Player,x,y,Total_Fitness,Constraints_Raw,DefMarking_Raw,Compactness_Raw,LineHeight_Raw,BallPress_Raw
Player11,0.11528969244343687,0.4180170261410211,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player2,0.4486568714630821,0.5893946613340297,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player3,0.3229821847160527,0.3163711829253954,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player4,0.4789990945770374,0.29345887419688005,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player5,0.28061215181267124,0.5880680181038856,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player7,0.39124675074964793,0.4458869684222893,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player8,0.41474996119221347,0.12552630589331132,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player9,0.5123431461996122,0.5206099528805972,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player10,0.5241949749505509,0.6096044933230851,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player6,0.4321011577044527,0.4061209829024515,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
Player12,0.4166183226320376,0.7731021616523354,7.626354668289727,0.029325140551996438,0.03955129555519907,0.8507375962643955,0.0,0.006330067969198418
