Timestamp,Algorithm,Scenario,Phase,Execution_Time_sec,Total_Fitness,Player11_X,Player11_Y,Player2_X,Player2_Y,Player3_X,Player3_Y,Player4_X,Player4_Y,Player5_X,Player5_Y,Player7_X,Player7_Y,Player8_X,Player8_Y,Player9_X,Player9_Y,Player10_X,Player10_Y,Player6_X,Player6_Y,Player12_X,Player12_Y
20260327_112141,cma_static,fd,Defensive phase,12.105,8.28350650857626,0.029657187712920408,0.5722596602110323,0.2988962785623831,0.6078194175496985,0.4111568506460892,0.5242246107085424,0.4350966380152801,0.24299302960507585,0.38335565430628754,0.7479896929904296,0.4447691044750269,0.8105283229979652,0.27385659349480596,0.36495911220353255,0.4217359555585899,0.4525846593017714,0.7107625853352199,0.6719742515514638,0.3913262952316451,0.44621762002151777,0.5008064811444699,0.6147538584196537
20260327_112200,cma_static,fd,Defensive phase,12.607,8.77211087738445,0.0008887057311680476,0.5963852453671812,0.2694561673499134,0.3677206754805935,0.49451791578784476,0.3274875357928366,0.3912110358087605,0.4458871744281002,0.42106354733913104,0.5416506810141585,0.4082331554720374,0.8020055160292282,0.40933423237186073,0.14348950275174638,0.7085857933458644,0.30578042727770305,0.2913589554169076,0.6240762861683427,0.5319513083780102,0.6286748284641257,0.3726535588464515,0.3495895361084006
20260327_112219,cma_static,fd,Defensive phase,12.362,10.274992505944207,0.022285949947587275,0.45650476285733077,0.39118077534132006,0.8003440989691913,0.788575565161555,0.36719460279411165,0.26737019948428586,0.30855191841114876,0.32774420894200057,0.5945810271007563,0.2574135784157867,0.5939648496669587,0.48163467442302693,0.28644753001359863,0.3715123713257103,0.4969023609079178,0.5246211090164692,0.6148304374853314,0.30857400925024875,0.3709689252708458,0.38996021162586303,0.4463573398164266
20260327_112238,cma_static,fd,Defensive phase,12.443,10.255248695307943,0.01995575044111509,0.612937549669377,0.49112803120452375,0.7607524435579073,0.3913010892703689,0.44705347182273253,0.27764742560872746,0.37405637070477366,0.46322672238029533,0.5225778614549904,0.47480887433989377,0.8663262026293421,0.4782394601598791,0.1732237026458442,0.3626267392139234,0.5862196521017732,0.31120573805609564,0.4694040237431366,0.3826904767963011,0.4213281957003653,0.3311979756001845,0.5395145372872577
20260327_112258,cma_static,fd,Defensive phase,12.375,8.675693605868487,0.07526309309630211,0.3719129438754769,0.42456491550194797,0.4215646435212046,0.30378572448029556,0.49945235721113107,0.53521610513946,0.2782126133020854,0.3292535477708326,0.6038337571150397,0.45947568505500846,0.7852198563598566,0.388163412822616,0.11722573463173097,0.3909020944428693,0.4460148008145632,0.5715088633449849,0.35447872675687353,0.5050935197377572,0.5058738351456119,0.28882362167900344,0.3472451162496698
20260327_112317,cma_static,fd,Defensive phase,12.321,10.035449896231315,0.018714314457338378,0.6630274408189324,0.42253587526374353,0.4968802942092639,0.3952962513724469,0.15538808135032178,0.24329677890973378,0.3596089521124475,0.3821776480387002,0.6438914034085176,0.29650471032123155,0.671276752945981,0.39062285374103484,0.4462769571469887,0.635221855366538,0.6523232717613865,0.5066234440236317,0.7179485904033854,0.48185779545504415,0.5899522845464961,0.4743064166580043,0.29923956947495617
20260327_112336,cma_static,fd,Defensive phase,12.346,7.636220685052836,0.1591153724333908,0.594167915630639,0.32709649823807263,0.4907818163000857,0.39190595128952904,0.44659653580419484,0.4054637319219153,0.1455955708964506,0.5038205045781852,0.5914897133190029,0.3953710697288634,0.8187592956467731,0.2897565753899406,0.3987438192163571,0.5165229502920498,0.36248703139375704,0.3319100500297303,0.5817394761045434,0.6051898570710448,0.4053438844594962,0.32985038751551443,0.33448833006444
20260327_112356,cma_static,fd,Defensive phase,12.41,9.302662664354036,0.15208378625834096,0.603102033542001,0.3478402202721638,0.7505388221051654,0.39192257450086465,0.4470909897615578,0.46069650053716166,0.19816602809274486,0.28169193812574145,0.7041047597925763,0.46476692967150013,0.7784690024945832,0.37339556406424146,0.547097692408841,0.4768743800176007,0.5932452974068699,0.5605242584897155,0.47629101580572136,0.2786428717874148,0.38819363305655163,0.6103680403928835,0.38119391553556364
20260327_112415,cma_static,fd,Defensive phase,12.428,10.103672314315029,0.09020369177649865,0.3502149193225601,0.39562583001534074,0.40171206169230994,0.4533860515953051,0.6190873665062481,0.42228101906873344,0.19343454724204465,0.2816753464849975,0.612309487408831,0.4422048490707727,0.7799631450875648,0.2776502054740427,0.4456492498319372,0.3927662640082851,0.4462286290712408,0.5608811524605631,0.2121595402858314,0.31736894378333247,0.348183415187998,0.3231046459634509,0.21486518659922496
20260327_112434,cma_static,fd,Defensive phase,12.5,8.158703621434007,0.1269693577712269,0.6030567410105311,0.4311663588392264,0.40171729749550145,0.30217536135239076,0.2978034378106359,0.40081013072429394,0.1110342780423422,0.2622031695687278,0.4228367689696594,0.40355282847832225,0.8410408844465125,0.3912319079495507,0.44557629033257273,0.4543935848127782,0.3509473986050414,0.5019119931774226,0.6030129822152709,0.36479028940381164,0.6873874592249628,0.3635446471034905,0.5890188190047368
