Player,x,y,Total_Fitness,Constraints_Raw,Coverage_Raw,Passing_Raw,Offside_Raw,PrevMarking_Raw,DefMarking_Raw,Compactness_Raw,LineHeight_Raw,BallPress_Raw
Player11,0.004071532560010892,0.44159509275946207,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player2,0.4137525320597613,0.4042752606024264,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player3,0.64363993436155,0.4145609746679316,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player4,0.3330626328038649,0.3812474979302665,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player5,0.4869880882064729,0.722092161205988,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player7,0.25430303877935967,0.73644886588453,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player8,0.252598916699319,0.47623850007819224,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player9,0.5720492440133574,0.4422609406153431,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player10,0.3921035374583719,0.5911107789366815,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player6,0.394735550563609,0.4949134647944824,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
Player12,0.5288544844233383,0.602900992604055,55.754829132899964,0.048897917146068885,2.062381802833473,-3.8781849494497687,0.0,0.5683724448434007,0.2025000054779291,0.8057677152871425,0.0,0.015217956727148088
