% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=161168, Wed Nov 26 12:23:00 2025
11 176 0.06640473262149595 1.4036106204257301 0.8707984232531258 0.8707984232531258 0.8959314781766695 0.9097691756442052 0.9306499038958247 0.9326536185665103 0.9371039783276867 0.9449493305707535 0.9561591823803568 0.9633573957086125 0.9683517820308168 0.9895682667222371 0.9949452600669257 0.9987118420004655 1.007228583423576 1.0119209483336453 1.0237365656222817 1.0401202526196682 1.0442977710992118 1.0682014267681024 1.075017137352678 1.1128204735608005 1.4036106204257301
12 192 0.06612851428876605 1.4239778124872975 0.8734713994781089 0.8734713994781089 0.8902677358935915 0.9039044628619337 0.9236285214998883 0.9297365323743754 0.934571145658219 0.9437188928750722 0.9489669750129204 0.958297237208636 0.9678087727084579 0.9788320129347469 0.9852018255160045 1.0030729726911103 1.0086135499584954 1.0211922212132725 1.0250226739761539 1.043020182897029 1.0450363039771828 1.0643835700151925 1.0694213845536016 1.1274030139692488 1.4239778124872975
13 208 0.06553162595631186 1.428375468398904 0.8726096166479549 0.8726096166479549 0.8942680836467851 0.9039971145025975 0.9234528101864393 0.9252211646728608 0.9300522632224333 0.9372536835064779 0.9473617319030017 0.9505796875527894 0.9664716090709408 0.9713004492001641 0.9824842992402689 1.000459064155943 1.0104917279928554 1.0167337739645124 1.0265951981435177 1.0411036842039814 1.0513611222976462 1.0668504387265116 1.0725741338560384 1.126113838592635 1.428375468398904
14 224 0.06643458139689445 1.4413577269590938 0.8639390187137447 0.8639390187137447 0.8946484887063076 0.8970383296052148 0.9130501078212109 0.9202488687192917 0.9288975203034908 0.9347737443498626 0.9467472674894052 0.9572760946457587 0.9585538306317585 0.9711042403192249 0.9812660488340622 0.99437191153871 1.0121606163546566 1.0193362759048794 1.0307267009344336 1.0327759461029122 1.0573216770185843 1.062916600644891 1.076574234709992 1.1264130639822065 1.4413577269590938
15 240 0.06797185834005998 1.4596151273752405 0.8633369875023538 0.8633369875023538 0.8843477879537256 0.8976001664177341 0.9096898498048893 0.917301734899245 0.9240935653403407 0.9342898384463987 0.9400781880612825 0.9525462111999288 0.9623540874276788 0.9704017626647008 0.9784108569207873 0.9867580775785751 1.0025632033652072 1.0170556206676207 1.0288767052069128 1.0486195268243483 1.0607548903500368 1.0673004798728458 1.0856817235339056 1.1330225245493635 1.4596151273752405
16 256 0.06514912524093601 1.4775943592555558 0.8601452916759315 0.8601452916759315 0.8740131500717104 0.8907783748362447 0.8990552412463251 0.9109570103419665 0.92258086713449 0.9295157835644616 0.935504324120076 0.9471058373426103 0.9608623990379697 0.9692261508678666 0.9764169293533489 0.9849388279046976 1.0050973941590848 1.0167431112379064 1.0326345562514296 1.052801361309784 1.0639759097918882 1.0793330125574079 1.0976215768697621 1.1435312929584887 1.4775943592555558
17 272 0.06279461002244584 1.4924033664253715 0.8591870917900389 0.8591870917900389 0.8718933964427391 0.8800298694406006 0.8894901230636802 0.9017949616688248 0.9206740300767225 0.9291966840916156 0.9368156190206174 0.9435678653626508 0.955695119486625 0.9649745630801381 0.9759010766786429 0.9914771598646696 0.9982872934351499 1.0128568132217706 1.031786653450589 1.0564941052769719 1.0691556619915594 1.0762574457175025 1.0958460758669952 1.1474420598463806 1.4924033664253715
18 288 0.06292127318891393 1.492836590210002 0.85587749796691 0.85587749796691 0.8662034994931965 0.8717077546785944 0.8847991351828619 0.8939289222687467 0.9114778456977917 0.9237672399757816 0.9339488137893884 0.9371209634352291 0.9538486639140914 0.9663283931886876 0.9823923947521732 0.9936781925747371 1.0036255896106696 1.0143728900474502 1.0341906436001336 1.0566440363707597 1.063947607023719 1.0793433748333119 1.0968914117513717 1.152134958459028 1.492836590210002
19 304 0.06354065777194685 1.4838213824857678 0.8445921650076292 0.8445921650076292 0.8612903869835331 0.8658085065606281 0.878325574819462 0.8910254861709146 0.9091033152829888 0.9236496549623633 0.929863466597615 0.9433799747281124 0.9611730597241765 0.9765839541446196 0.9784004713764458 1.0010094577486803 1.0031450967574698 1.0104384443813637 1.0330469209662863 1.0594412252565142 1.0635775851481353 1.079989929878556 1.0973435645392884 1.1763730519595545 1.4838213824857678
20 320 0.06312849180397793 1.4926622363965307 0.8425584544897609 0.8425584544897609 0.847930169928135 0.8571737845778142 0.8733151248885725 0.8860912605531989 0.9132444455884827 0.9227980141270691 0.9315715766773044 0.9397969495098939 0.9547638544119814 0.9752865459903928 0.9814389017755664 0.998549561298446 1.0053705382885245 1.0147260739115662 1.036763285381234 1.05832537586866 1.066834836752383 1.0823418565542222 1.0963788135505395 1.1758206570310514 1.4926622363965307
